Position,Track Name,Artist,Streams,URL,Date,Unique ID
34,Fantasias,Rauw Alejandro,11929120,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,01.02.20,
35,Before You Go,Lewis Capaldi,11851834,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,01.02.20,
36,GANG GANG,JACKBOYS,11484613,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,01.02.20,
37,Futsal Shuffle 2020,Lil Uzi Vert,11472876,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,01.02.20,
38,WHAT TO DO? (feat. Don Toliver),JACKBOYS,10980949,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,01.02.20,
39,Had Enough (feat. Quavo & Offset),Don Toliver,10967607,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,01.02.20,
40,Lose Control,MEDUZA,10632666,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,01.02.20,
41,7 rings,Ariana Grande,10570155,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,01.02.20,
42,How Do You Sleep?,Sam Smith,10544297,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,01.02.20,
43,LA CANCIÓN,J Balvin,10501991,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,01.02.20,
44,Old Town Road - Remix,Lil Nas X,10483714,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,01.02.20,
45,"10,000 Hours (with Justin Bieber)",Dan + Shay,10360035,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,01.02.20,
46,Lalala,Y2K,10215601,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,01.02.20,
47,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,10019267,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,01.02.20,
48,Hola - Remix,Dalex,9966686,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,01.02.20,
49,Ayy Macarena,Tyga,9810547,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,01.02.20,
50,Callaita,Bad Bunny,9768682,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,01.02.20,
51,Sigues Con El,Dímelo Flow,9509134,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,01.02.20,
52,Suicidal,YNW Melly,9498868,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,01.02.20,
53,Whine Up,Nicky Jam,9384022,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,01.02.20,
54,Psycho,Red Velvet,9132322,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,01.02.20,
55,No Me Conoce - Remix,Jhay Cortez,9079621,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,01.02.20,
56,Ransom,Lil Tecca,9048763,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,01.02.20,
57,Ballin' (with Roddy Ricch),Mustard,8987983,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,01.02.20,
58,Goodbyes (Feat. Young Thug),Post Malone,8942304,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,01.02.20,
59,Trampoline,SHAED,8896030,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,01.02.20,
60,Que Tire Pa Lante,Daddy Yankee,8685806,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,01.02.20,
61,Adicto (with Anuel AA & Ozuna),Tainy,8685590,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,01.02.20,
62,Falling,Harry Styles,8657010,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,01.02.20,
63,Shallow,Lady Gaga,8610933,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,01.02.20,
64,when the party's over,Billie Eilish,8571275,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,01.02.20,
65,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,8343580,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,01.02.20,
66,Happier,Marshmello,8323023,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,01.02.20,
67,lovely (with Khalid),Billie Eilish,8225411,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,01.02.20,
68,Lights Up,Harry Styles,8182978,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,01.02.20,
69,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,8022267,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,01.02.20,
70,Yellow Hearts,Ant Saunders,7816424,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,01.02.20,
71,Roses - Imanbek Remix,SAINt JHN,7718200,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,01.02.20,
72,GATTI,JACKBOYS,7685470,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,01.02.20,
73,It's You,Ali Gatie,7647143,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,01.02.20,
