Position,Track Name,Artist,Streams,URL,Date
52,Me Gusta,Shakira,10557732,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a,01.30.20
53,Beautiful People (feat. Khalid),Ed Sheeran,10221539,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,01.30.20
54,lovely (with Khalid),Billie Eilish,10208670,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,01.30.20
55,High Fashion (feat. Mustard),Roddy Ricch,10068077,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,01.30.20
56,Lucid Dreams,Juice WRLD,10016489,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,01.30.20
57,"10,000 Hours (with Justin Bieber)",Dan + Shay,9704898,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,01.30.20
58,If the World Was Ending - feat. Julia Michaels,JP Saxe,9450324,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,01.30.20
59,Whine Up,Nicky Jam,9283635,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,01.30.20
60,7 rings,Ariana Grande,8930240,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,01.30.20
61,Lalala,Y2K,8883262,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,01.30.20
62,Those Kinda Nights (feat. Ed Sheeran),Eminem,8792427,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH,01.30.20
63,No Me Conoce - Remix,Jhay Cortez,8785272,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,01.30.20
64,LA CANCIÓN,J Balvin,8770582,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,01.30.20
65,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,8695982,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,01.30.20
66,Futsal Shuffle 2020,Lil Uzi Vert,8669510,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,01.30.20
67,Eleven,Khalid,8656151,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74,01.30.20
68,Callaita,Bad Bunny,8426910,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,01.30.20
69,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,8400874,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,01.30.20
70,Adicto (with Anuel AA & Ozuna),Tainy,8342011,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,01.30.20
71,Heartless,The Weeknd,8152099,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,01.30.20
72,Shallow,Lady Gaga,8117633,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,01.30.20
73,Old Town Road - Remix,Lil Nas X,8097306,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,01.30.20
74,Trampoline (with ZAYN),SHAED,8077007,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI,01.30.20
75,Goodbyes (Feat. Young Thug),Post Malone,8026103,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,01.30.20
76,It's You,Ali Gatie,7992128,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,01.30.20
77,VIBEZ,DaBaby,7907321,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,01.30.20
78,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,7794095,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,01.30.20
79,Blanco,J Balvin,7787228,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc,01.30.20
80,Forever Yours - Avicii Tribute,Kygo,7724277,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf,01.30.20
81,How Do You Sleep?,Sam Smith,7684194,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,01.30.20
82,Darkness,Eminem,7618955,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d,01.30.20
83,Que Tire Pa Lante,Daddy Yankee,7544026,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,01.30.20
84,Without Me,Halsey,7529279,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,01.30.20
85,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,7480165,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,01.30.20
86,Aventura,Lunay,7451093,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,01.30.20
87,Ransom,Lil Tecca,7416638,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,01.30.20
88,Sunday Best,Surfaces,7413076,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,01.30.20
89,OUT WEST (feat. Young Thug),JACKBOYS,7369641,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,01.30.20
90,Yellow Hearts,Ant Saunders,7301052,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,01.30.20
91,bury a friend,Billie Eilish,7280093,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,01.30.20
92,"Alone, Pt. II",Alan Walker,7255585,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,01.30.20
93,Happier,Marshmello,7237539,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,01.30.20
94,July,Noah Cyrus,7182043,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,01.30.20
95,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,7157402,https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB,01.30.20
96,Bellaquita - Remix,Dalex,7088433,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,01.30.20
97,Blue World,Mac Miller,7060589,https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5,01.30.20
98,Bruises,Lewis Capaldi,6974505,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,01.30.20
99,Sucker,Jonas Brothers,6937517,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,01.30.20
100,Never Seen the Rain,Tones And I,6874407,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,01.30.20
101,Wow.,Post Malone,6863575,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,01.30.20
102,Robbery,Juice WRLD,6862670,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,01.30.20
103,me & ur ghost,blackbear,6855763,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440,01.30.20
104,Believer,Imagine Dragons,6786103,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,01.30.20
105,Kein Wort,Juju,6784726,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n,01.30.20
106,Quizas,Rich Music LTD,6783458,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,01.30.20
107,Woah,Lil Baby,6764347,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,01.30.20
108,Indeciso,Reik,6652845,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,01.30.20
109,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,6645732,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,01.30.20
110,ocean eyes,Billie Eilish,6591565,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,01.30.20
111,rockstar (feat. 21 Savage),Post Malone,6571776,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,01.30.20
112,Lights Up,Harry Styles,6567127,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,01.30.20
113,FML,Arizona Zervas,6500612,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,01.30.20
114,"Yo x Ti, Tu x Mi",ROSALÍA,6459432,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,01.30.20
115,Bohemian Rhapsody - 2011 Mix,Queen,6447852,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,01.30.20
116,Liberdade Provisória,Henrique & Juliano,6442626,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,01.30.20
117,Money In The Grave (Drake ft. Rick Ross),Drake,6388146,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,01.30.20
118,all the good girls go to hell,Billie Eilish,6382875,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,01.30.20
119,Unaccommodating (feat. Young M.A),Eminem,6374807,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM,01.30.20
120,Break My Stride,Matthew Wilder,6324190,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT,01.30.20
121,Piece Of Your Heart,MEDUZA,6319342,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,01.30.20
122,Shape of You,Ed Sheeran,6280752,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01.30.20
123,Mean It,Lauv,6192481,https://open.spotify.com/track/2uiOyiRxtNix52dpeaDQPM,01.30.20
124,Si Te Vas,Sech,6192038,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,01.30.20
125,Sum 2 Prove,Lil Baby,6182599,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz,01.30.20
126,Truth Hurts,Lizzo,6168230,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq,01.30.20
127,Get You The Moon (feat. Snøw),Kina,6124786,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,01.30.20
128,GOODMORNINGTOKYO!,TOKYO’S REVENGE,6123388,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,01.30.20
129,Donuts,Gzuz,6113037,https://open.spotify.com/track/2nNGV59DJJwk7D5ImGf6uc,01.30.20
130,SAD!,XXXTENTACION,6086732,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,01.30.20
131,SICKO MODE,Travis Scott,6038494,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,01.30.20
132,Tutu,Camilo,5990495,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,01.30.20
133,Dancing With A Stranger (with Normani),Sam Smith,5980185,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,01.30.20
134,Hate Me (with Juice WRLD),Ellie Goulding,5973665,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,01.30.20
135,Soltera - Remix,Lunay,5964361,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,01.30.20
136,"thank u, next",Ariana Grande,5935132,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,01.30.20
137,Say You Won't Let Go,James Arthur,5914675,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,01.30.20
138,Psycho,Red Velvet,5856151,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,01.30.20
139,Jocelyn Flores,XXXTENTACION,5833212,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,01.30.20
140,Sweet but Psycho,Ava Max,5827150,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,01.30.20
141,wish you were gay,Billie Eilish,5788558,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,01.30.20
142,Eastside (with Halsey & Khalid),benny blanco,5768323,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,01.30.20
143,Perreo en La Luna,Rich Music LTD,5766655,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV,01.30.20
144,Higher Love,Kygo,5696848,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,01.30.20
145,No Guidance (feat. Drake),Chris Brown,5680403,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,01.30.20
146,Infeliz,Arcangel,5652421,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m,01.30.20
147,Graveyard,Halsey,5651903,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67,01.30.20
148,i love you,Billie Eilish,5646960,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,01.30.20
149,Can We Kiss Forever?,Kina,5620187,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,01.30.20
150,Con Altura,ROSALÍA,5563222,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,01.30.20
151,Perfect,Ed Sheeran,5554919,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,01.30.20
152,Falling,Harry Styles,5531646,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,01.30.20
153,Girls Like You (feat. Cardi B),Maroon 5,5522003,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,01.30.20
154,Leaving Heaven (feat. Skylar Grey),Eminem,5466161,https://open.spotify.com/track/5CpsIb7SMFHjmAG8RvIWfq,01.30.20
