,,Position,Position,Position
,,count,min,max
Justin Bieber,Second Emotion (feat. Travis Scott),1,53,53
Justin Bieber,Take It Out On Me,1,96,96
Justin Bieber,That's What Love Is,1,124,124
Justin Bieber,Yummy,17,3,198
Justin Bieber,Yummy - Summer Walker Remix,1,192,192
K CAMP,Lottery (Renegade),6,99,184
K/DA,THE BADDEST,1,179,179
KAROL G,"Ay, DiOs Mío!",5,119,193
KAROL G,Tusa,24,36,194
Kaash Paige,Love Songs,1,198,198
Kane Brown,Be Like That - feat. Swae Lee & Khalid,15,25,108
Kane Brown,Cool Again,1,159,159
Kanye West,Closed On Sunday,3,4,134
Kanye West,Every Hour,2,12,139
Kanye West,Everything We Need,3,8,187
Kanye West,Follow God,8,1,193
Kanye West,God Is,2,11,88
Kanye West,Hands On,2,18,136
Kanye West,Jesus Is Lord,2,24,194
Kanye West,On God,3,5,154
Kanye West,Selah,3,7,173
Kanye West,Use This Gospel,3,10,186
Kanye West,Wash Us In The Blood,3,33,114
Kanye West,Water,2,13,110
Katy Perry,Cozy Little Christmas,1,187,187
Katy Perry,Daisies,5,55,192
Katy Perry,Harleys In Hawaii,2,138,197
Kehlani,All Me (feat. Keyshia Cole),1,120,120
Kehlani,Bad News,1,184,184
Kehlani,Can I,1,52,52
Kehlani,Change Your Life (feat. Jhené Aiko),1,96,96
Kehlani,Everybody Business,1,157,157
Kehlani,F&MU,1,125,125
Kehlani,Toxic,1,79,79
Kehlani,Water,1,161,161
Keith Urban,One Too Many,1,149,149
Kelly Clarkson,Underneath the Tree,4,40,77
Kelsea Ballerini,the other girl (with Halsey),1,122,122
Kendrick Lamar,HUMBLE.,8,168,192
Kendrick Lamar,Money Trees,12,88,191
Khalid,Better,16,109,199
Khalid,Eleven,5,38,156
Khalid,Eleven (feat. Summer Walker),1,187,187
Khalid,Know Your Worth,19,28,146
Khalid,Location,1,192,192
Khalid,Saturday Nights,5,180,199
Khalid,Talk (feat. Disclosure),19,71,192
Khalid,Up All Night,8,40,154
Khalid,Young Dumb & Broke,5,170,199
Kid Cudi,Leader Of The Delinquents,1,177,177
Kid Cudi,The Adventures of Moon Man & Slim Shady (with Eminem),3,25,153
Kina,Get You The Moon (feat. Snøw),4,169,198
Kinneret,No Wind Resistance!,1,117,117
Kodak Black,ZEZE (feat. Travis Scott & Offset),4,182,198
Kodak Black,Zombie (feat. NLE Choppa & DB Omerta),1,155,155
Kristen Bell,Some Things Never Change,1,194,194
Kygo,Broken Glass,1,97,97
Kygo,Forever Yours - Avicii Tribute,1,177,177
Kygo,Freedom,1,161,161
Kygo,Higher Love,1,142,142
Kygo,I'll Wait,1,69,69
Kygo,Like It Is,4,61,183
Kygo,Lose Somebody,13,45,193
Kygo,What's Love Got to Do with It,1,162,162
Labrinth,Still Don't Know My Name,11,53,145
Lady Gaga,1000 Doves,1,136,136
Lady Gaga,911,1,54,54
Lady Gaga,Alice,1,56,56
Lady Gaga,Babylon,1,107,107
Lady Gaga,Chromatica I,1,113,113
Lady Gaga,Chromatica II,1,104,104
Lady Gaga,Enigma,1,84,84
Lady Gaga,Free Woman,1,63,63
Lady Gaga,Fun Tonight,1,73,73
Lady Gaga,Plastic Doll,1,82,82
Lady Gaga,Rain On Me (with Ariana Grande),22,2,118
Lady Gaga,Replay,1,85,85
Lady Gaga,Sine From Above (with Elton John),1,94,94
Lady Gaga,Sour Candy (with BLACKPINK),5,8,120
Lady Gaga,Stupid Love,9,8,187
Lauv,Fake,1,105,105
Lauv,Feelings,3,125,137
Lauv,I Like Me Better,6,176,196
Lauv,Invisible Things,1,169,169
Lauv,Mean It,8,36,192
Lauv,Modern Loneliness,3,86,164
Lauv,Tattoos Together,1,183,183
Lauv,Who (feat. BTS),1,175,175
Lee Brice,One Of Them Girls,10,64,167
Lennon Stella,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,1,191,191
Leon Bridges,Inside Friend (feat. John Mayer),1,144,144
Leona Lewis,One More Sleep,1,175,175
Leslie Odom Jr.,Alexander Hamilton,3,126,173
Leslie Odom Jr.,Wait for It,2,170,198
Lewis Capaldi,Before You Go,48,42,164
Lewis Capaldi,Bruises,8,114,198
Lewis Capaldi,Someone You Loved,52,6,82
Likybo,Kraazy,1,173,173
Lil Adrei,Burberry faygo,1,90,90
Lil Baby,All In,2,79,171
Lil Baby,Commercial (feat. Lil Uzi Vert),13,31,196
Lil Baby,Drip Too Hard (Lil Baby & Gunna),52,69,173
Lil Baby,Emotionally Scarred,20,45,198
Lil Baby,Forever (feat. Lil Wayne),1,112,112
Lil Baby,Get Ugly,1,93,93
Lil Baby,Grace (feat. 42 Dugg),1,80,80
Lil Baby,Heatin Up (feat. Gunna),14,11,184
Lil Baby,How,1,105,105
Lil Baby,Live Off My Closet (feat. Future),2,30,120
Lil Baby,No Sucker (feat. Moneybagg Yo),1,104,104
Lil Baby,Same Thing,1,130,130
Lil Baby,Social Distancing,1,142,142
Lil Baby,Sum 2 Prove,33,18,199
Lil Baby,The Bigger Picture,18,5,175
Lil Baby,We Paid (feat. 42 Dugg),21,9,94
Lil Baby,We Should (feat. Young Thug),1,148,148
Lil Baby,Woah,38,11,192
Lil Baby,Yes Indeed,18,161,200
Lil Durk,3 Headed Goat (feat. Lil Baby & Polo G),18,59,178
Lil Durk,The Voice,1,195,195
Lil Eazzyy,Onna Come Up,1,139,139
Lil Mosey,Back At It (feat. Lil Baby),2,95,139
Lil Mosey,Blueberry Faygo,37,2,31
Lil Mosey,G Walk (with Chris Brown),1,142,142
Lil Mosey,Live This Wild,1,158,158
Lil Mosey,Noticed,13,148,199
Lil Mosey,Stuck In A Dream (feat. Gunna),29,9,200
Lil Nas X,Old Town Road - Remix,18,87,192
Lil Nas X,Panini,18,27,195
Lil Nas X,Panini - DaBaby Remix,10,77,196
Lil Nas X,Rodeo - feat. Nas,1,159,159
Lil Peep,Falling Down - Bonus Track,2,198,200
Lil Peep,Star Shopping,9,107,196
Lil Pump,Illuminati,1,182,182
Lil Skies,Havin My Way (feat. Lil Durk),9,148,199
Lil Skies,I,7,171,199
Lil Tecca,Did It Again,12,48,199
Lil Tecca,Dolly (with Lil Uzi Vert),2,47,150
Lil Tecca,Love Me,8,98,197
Lil Tecca,Our Time,1,200,200
Lil Tecca,Out Of Love (feat. Internet Money),7,92,197
Lil Tecca,Ransom,44,19,192
Lil Tecca,Ransom (with Juice WRLD) - Remix,16,47,170
Lil Tecca,Shots,2,178,186
Lil Tecca,When You Down (with Polo G feat. Lil Durk),1,134,134
Lil Tjay,20/20,2,105,166
Lil Tjay,Brothers (feat. Lil Durk) - Remix,2,156,169
Lil Tjay,F.N,49,37,198
Lil Tjay,Go In,1,128,128
Lil Tjay,Hold On,2,179,188
Lil Tjay,Zoo York (feat. Fivio Foreign & Pop Smoke),1,55,55
Lil Uzi Vert,20 Min,29,116,199
Lil Uzi Vert,Baby Pluto,9,2,173
Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef],5,8,152
Lil Uzi Vert,Bigger Than Life,3,16,168
Lil Uzi Vert,Bust Me,2,29,115
Lil Uzi Vert,Celebration Station,3,14,149
Lil Uzi Vert,Chrome Heart Tags,2,27,109
Lil Uzi Vert,Come This Way,1,55,55
Lil Uzi Vert,Futsal Shuffle 2020,12,1,58
Lil Uzi Vert,Futsal Shuffle 2020 - Bonus Track,12,18,194
Lil Uzi Vert,Got The Guap (feat. Young Thug),2,52,161
Lil Uzi Vert,Homecoming,4,7,149
Lil Uzi Vert,I Can Show You,1,51,51
Lil Uzi Vert,I'm Sorry,3,11,135
Lil Uzi Vert,Leaders (feat. NAV),2,39,176
Lil Uzi Vert,Lo Mein,12,5,138
Lil Uzi Vert,Lotus,1,29,29
Lil Uzi Vert,Money Spread (feat. Young Nudy),1,63,63
Lil Uzi Vert,Moon Relate,1,34,34
Lil Uzi Vert,Myron,28,2,187
Lil Uzi Vert,No Auto (feat. Lil Durk),1,60,60
Lil Uzi Vert,P2,21,4,195
Lil Uzi Vert,POP,2,13,77
Lil Uzi Vert,Prices,5,10,183
Lil Uzi Vert,Sanguine Paradise,24,96,199
Lil Uzi Vert,Sasuke,1,44,44
Lil Uzi Vert,Secure The Bag,2,34,135
Lil Uzi Vert,Silly Watch,6,6,143
Lil Uzi Vert,Strawberry Peels (feat. Young Thug & Gunna),2,33,193
Lil Uzi Vert,That Way,1,7,7
Lil Uzi Vert,That Way - Bonus Track,25,3,195
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),1,177,177
Lil Uzi Vert,Trap This Way (This Way),1,41,41
Lil Uzi Vert,Urgency (feat. Syd),1,44,44
Lil Uzi Vert,Venetia,3,17,138
Lil Uzi Vert,Wassup (feat. Future),1,35,35
Lil Uzi Vert,XO Tour Llif3,51,67,198
Lil Uzi Vert,Yessirskiii,5,14,168
Lil Uzi Vert,You Better Move,2,19,81
Lil Wayne,Bing James (ft. Jay Rock),1,165,165
Lil Wayne,Clap For Em,1,189,189
Lil Wayne,Dreams,1,125,125
Lil Wayne,Funeral,1,113,113
Lil Wayne,"I Do It (ft. Big Sean, Lil Baby)",4,16,122
Lil Wayne,I Don't Sleep (ft. Takeoff),2,78,199
Lil Wayne,Know You Know (ft. 2 Chainz),1,150,150
Lil Wayne,Mahogany,1,65,65
Lil Wayne,Mama Mia,1,91,91
Lil Wayne,Stop Playin With Me,1,198,198
Lil Wayne,Trust Nobody (ft. Adam Levine),1,176,176
Lil Yachty,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),8,60,177
Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),12,31,136
Lil Yachty,Split/Whole Time,1,101,101
Lil Yachty,"T.D (Lil Yachty & Tierra Whack feat. ASAP Rocky & Tyler, The Creator)",3,55,173
Lin-Manuel Miranda,My Shot,2,165,166
Lizzo,Good as Hell,10,73,198
Lizzo,Good as Hell (feat. Ariana Grande) - Remix,11,32,200
Lizzo,Juice,2,183,199
Lizzo,Truth Hurts,50,20,194
Logic,5 Hooks,1,150,150
Logic,A2Z,1,192,192
Logic,Celebration,1,113,113
Logic,DadBod,1,127,127
Logic,Dark Place,1,175,175
Logic,GP4,1,65,65
Logic,Heard Em Say,1,163,163
Logic,Hit My Line,1,62,62
Logic,No Pressure Intro,1,67,67
Logic,Open Mic\\Aquarius III,1,124,124
Logic,Perfect,3,30,156
Logic,Soul Food II,1,92,92
Logic,man i is,1,111,111
Louis The Child,Little Things (with Quinn XCII & Chelsea Cutler),1,136,136
Luke Bryan,One Margarita,9,119,191
Luke Combs,"1, 2 Many",1,145,145
Luke Combs,All Over Again,1,149,149
Luke Combs,Beautiful Crazy,50,83,196
Luke Combs,Beer Never Broke My Heart,7,70,200
Luke Combs,Better Together,5,54,187
Luke Combs,Blue Collar Boys,1,150,150
Luke Combs,Dear Today,1,168,168
Luke Combs,Does To Me (feat. Eric Church),6,99,187
Luke Combs,Even Though I'm Leaving,5,60,196
Luke Combs,Every Little Bit Helps,1,181,181
Luke Combs,Hurricane,9,179,199
Luke Combs,Lovin' On You,1,185,185
Luke Combs,Moon Over Mexico,1,196,196
Luke Combs,New Every Day,1,171,171
Luke Combs,Nothing Like You,1,152,152
Luke Combs,Reasons,1,121,121
Luke Combs,Refrigerator Door,1,160,160
Luke Combs,Six Feet Apart,4,68,198
Luke Combs,What You See Is What You Get,1,74,74
Luke Combs,When It Rains It Pours,14,150,199
Luke Combs,Without You,2,53,170
Lynyrd Skynyrd,Sweet Home Alabama,1,180,180
MEDUZA,Lose Control,5,123,184
Mac Miller,Blue World,4,6,135
Mac Miller,Circles,2,11,75
Mac Miller,Complicated,2,21,125
Mac Miller,Everybody,2,33,167
Mac Miller,Good News,9,3,197
Mac Miller,Hand Me Downs,2,23,102
Mac Miller,Hands,1,60,60
Mac Miller,I Can See,2,16,128
Mac Miller,Once A Day,1,57,57
Mac Miller,Self Care,1,183,183
Mac Miller,Surf,2,46,176
Mac Miller,That's On Me,1,51,51
Mac Miller,Woods,2,30,138
Machine Gun Kelly,all I know (feat. Trippie Redd),1,73,73
Machine Gun Kelly,bloody valentine,6,35,152
Machine Gun Kelly,concert for aliens,1,123,123
Machine Gun Kelly,drunk face,2,56,137
Machine Gun Kelly,forget me too (feat. Halsey),4,17,89
Machine Gun Kelly,jawbreaker,1,143,143
Machine Gun Kelly,kiss kiss,1,92,92
Machine Gun Kelly,lonely,1,106,106
Machine Gun Kelly,my ex's best friend (with blackbear),11,11,43
Machine Gun Kelly,nothing inside (feat. iann dior),1,124,124
Machine Gun Kelly,play this when i'm gone,1,144,144
Machine Gun Kelly,title track,1,93,93
Maddie & Tae,Die From A Broken Heart,11,101,191
Madison Beer,Selfish,12,59,195
Maggie Rogers,Love You For A Long Time,1,142,142
Major Lazer,Trigger,5,49,182
Maluma,Hawái,9,29,71
Maren Morris,The Bones,3,182,195
Mariah Carey,All I Want for Christmas Is You,8,2,113
Mariah Carey,Christmas (Baby Please Come Home),4,55,124
Maroon 5,Memories,50,9,199
Maroon 5,Nobody's Love,6,49,173
Marshmello,Be Kind (with Halsey),25,13,198
Marshmello,Happier,31,103,199
Marshmello,OK Not To Be OK,3,48,171
Marshmello,One Thing Right,15,92,181
Marshmello,Tongue Tied (with YUNGBLUD & blackbear),2,60,176
Matthew Wilder,Break My Stride,2,129,164
Meek Mill,Believe (feat. Justin Timberlake),1,146,146
Meek Mill,Going Bad (feat. Drake),40,75,200
Meek Mill,Letter To Nipsey (feat. Roddy Ricch),1,154,154
Meek Mill,Otherside Of America,1,115,115
Megan Thee Stallion,B.I.T.C.H.,3,46,198
Megan Thee Stallion,Captain Hook,14,83,198
Megan Thee Stallion,Cash Shit (feat. DaBaby),15,108,199
Megan Thee Stallion,Diamonds (with Normani),1,99,99
Megan Thee Stallion,Don’t Stop (feat. Young Thug),3,57,180
Megan Thee Stallion,Girls in the Hood,17,37,121
Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla Sign),4,100,169
Megan Thee Stallion,Savage,22,9,200
Megan Thee Stallion,Savage Remix (feat. Beyoncé),26,5,164
Meghan Trainor,I'll Be Home,1,152,152
Melanie Martinez,Play Date,13,36,107
Metro Boomin,Space Cadet (feat. Gunna),2,174,188
Michael Bublé,Holly Jolly Christmas,5,21,148
Michael Bublé,I'll Be Home for Christmas,1,142,142
Michael Bublé,It's Beginning to Look a Lot like Christmas,6,18,186
Michael Bublé,Santa Claus Is Coming to Town,3,90,171
Michael Bublé,White Christmas (with Shania Twain),1,170,170
Michael Jackson,Thriller,1,146,146
Migos,Give No Fxk,2,26,154
Migos,Need It,10,64,159
Migos,Racks 2 Skinny,2,76,181
Migos,Taco Tuesday,1,185,185
Miley Cyrus,Heart Of Glass (Live from the iHeart Festival),3,81,104
Miley Cyrus,Midnight Sky,10,14,66
Miley Cyrus,Party In The U.S.A.,1,169,169
Miranda Lambert,Bluebird,1,200,200
Money Man,24,3,113,169
Money Man,24 (feat. Lil Baby),10,25,140
Moneybagg Yo,Said Sum,13,156,196
Moneybagg Yo,Said Sum (feat. City Girls & DaBaby) - Remix,1,114,114
Moneybagg Yo,U Played (feat. Lil Baby),4,101,155
Morgan Wallen,7 Summers,10,3,61
Morgan Wallen,Chasin' You,34,55,186
Morgan Wallen,Cover Me Up,9,147,189
Morgan Wallen,More Than My Hometown,26,57,178
Morgan Wallen,Whiskey Glasses,47,59,188
Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",8,117,200
Mustard,Ballin' (with Roddy Ricch),52,11,120
Mustard,Pure Water (with Migos),16,127,200
Mykola Dmytrovych Leontovych,Carol of the Bells,4,80,189
NAV,Codeine (feat. Gunna),1,70,70
NAV,My Business (feat. Future),1,149,149
NAV,No Debate (feat. Young Thug),1,168,168
NAV,Recap (feat. Don Toliver),1,166,166
NAV,Run It Up (feat. Pop Smoke),1,150,150
NAV,Saint Laurenttt,1,140,140
NAV,Status (feat. Lil Uzi Vert),1,146,146
NAV,Turks (feat. Travis Scott),6,4,48
NAV,Turks (with Gunna & ft. Travis Scott),15,26,200
NF,Chasing_(Demo),1,188,188
NF,PAID MY DUES,1,148,148
NLE Choppa,100 Shots,1,186,186
NLE Choppa,Camelot,36,13,177
NLE Choppa,Famous Hoes,6,105,182
NLE Choppa,Forever,1,90,90
NLE Choppa,Matrix,1,162,162
NLE Choppa,Narrow Road (feat. Lil Baby),11,60,148
NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],6,108,188
NLE Choppa,Shotta Flow (feat. Blueface) [Remix],6,143,200
NLE Choppa,Shotta Flow 5,8,26,188
NLE Choppa,Walk Em Down (feat. Roddy Ricch),31,11,143
Nat King Cole,Joy To The World,4,72,178
Nat King Cole,The Christmas Song (Merry Christmas To You),5,14,157
NextYoungin,3 Musketeers,7,109,185
Niall Horan,Black And White,1,156,156
Niall Horan,Nice To Meet Ya,7,66,190
Niall Horan,No Judgement,4,114,175
Nicki Minaj,Yikes,3,34,191
Nio Garcia,La Jeepeta - Remix,11,138,194
Noah Cyrus,July,52,56,184
Normani,Motivation,4,83,132
Offset,Ric Flair Drip (& Metro Boomin),1,200,200
Old Dominion,One Man Band,34,71,199
Olivia Rodrigo,"All I Want - From ""High School Musical: The Musical: The Series""",13,64,199
Ozuna,Del Mar,1,88,88
PARTYNEXTDOOR,BELIEVE IT,11,13,165
PARTYNEXTDOOR,LOYAL (feat. Drake),7,19,200
Panic! At The Disco,High Hopes,3,162,199
Panic! At The Disco,Into the Unknown - Panic! At The Disco Version,2,121,187
Parker McCollum,Pretty Heart,2,133,184
Paul McCartney,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,4,29,78
Peach Tree Rascals,Mariposa,9,104,195
Pentatonix,Hallelujah,2,159,164
Pentatonix,"Mary, Did You Know?",1,153,153
Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),5,37,194
Phillipa Soo,Helpless,3,149,195
Playboi Carti,@ MEH,4,8,75
Polo G,21,23,42,193
Polo G,33,1,127,127
Polo G,Be Something (feat. Lil Baby),9,51,196
Polo G,Beautiful Pain (Losin My Mind),1,79,79
Polo G,DND,3,69,152
Polo G,Don't Believe The Hype,1,154,154
Polo G,Epidemic,4,32,169
Polo G,First Place,1,176,176
Polo G,Flex (feat. Juice WRLD),23,22,147
Polo G,Go Stupid,11,38,194
Polo G,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),13,28,95
Polo G,Heartless (feat. Mustard),1,104,104
Polo G,I Know,1,142,142
Polo G,Martin & Gina,12,23,171
Polo G,Pop Out (feat. Lil Tjay),50,53,198
Polo G,Wishing For A Hero (feat. BJ The Chicago Kid),1,173,173
Pop Smoke,44 BullDog,2,31,171
Pop Smoke,Aim For The Moon (feat. Quavo),4,24,191
Pop Smoke,Bad Bitch From Tokyo (Intro),1,66,66
Pop Smoke,Creature (feat. Swae Lee),1,37,37
Pop Smoke,Diana (feat. King Combs),1,104,104
Pop Smoke,Dior,33,18,197
Pop Smoke,Dior (with Gunna) - Remix,5,169,197
Pop Smoke,Enjoy Yourself (feat. Karol G),2,64,191
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),16,2,28
Pop Smoke,Gangstas,3,27,158
Pop Smoke,Got It On Me,16,15,79
Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),8,131,174
Pop Smoke,Make It Rain,3,49,145
Pop Smoke,Make It Rain (feat. Rowdy Rebel),3,25,189
Pop Smoke,Mood Swings (feat. Lil Tjay),16,10,125
Pop Smoke,Shake The Room (feat. Quavo),2,142,153
Pop Smoke,Snitching (feat. Quavo & Future),1,60,60
Pop Smoke,Something Special,10,35,196
Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),16,8,56
Pop Smoke,Tunnel Vision (Outro),1,96,96
Pop Smoke,West Coast Shit (feat. Tyga & Quavo),1,79,79
Pop Smoke,What You Know Bout Love,8,6,161
Pop Smoke,Yea Yea,1,46,46
Post Malone,A Thousand Bad Times,2,162,182
Post Malone,Better Now,46,109,199
Post Malone,Circles,52,2,55
Post Malone,Congratulations,17,140,197
Post Malone,Die For Me (feat. Future & Halsey),5,97,167
Post Malone,Enemies (feat. DaBaby),29,42,200
Post Malone,Goodbyes (Feat. Young Thug),31,22,118
Post Malone,Goodbyes (feat. Young Thug),15,103,198
Post Malone,Hollywood's Bleeding,9,69,198
Post Malone,I Fall Apart,52,98,177
Post Malone,On The Road (feat. Meek Mill & Lil Baby),6,96,186
Post Malone,Saint-Tropez,9,53,189
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,52,14,59
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),28,26,200
Post Malone,Wow.,52,48,192
Post Malone,rockstar (feat. 21 Savage),52,89,181
Powfu,death bed (coffee for your head),36,9,63
Quality Control,Baby (Lil Baby feat. DaBaby),33,30,200
Quinn XCII,Coffee,1,185,185
ROSALÍA,TKN (feat. Travis Scott),8,30,138
Ray Parker Jr.,Ghostbusters,1,194,194
Regard,Ride It,6,90,193
Renée Elise Goldsberry,Satisfied,3,103,144
Renée Elise Goldsberry,The Schuyler Sisters,2,161,176
Rex Orange County,Face to Face,1,154,154
Rex Orange County,Pluto Projector,1,174,174
Rich The Kid,Money Talk,1,113,113
Rich The Kid,Stuck Together (feat. Lil Baby),1,153,153
Ritt Momney,Put Your Records On,6,18,87
Rod Wave,Heart On Ice,30,47,199
Rod Wave,Rags2Riches (feat. ATR Son Son),16,15,199
Rod Wave,Rags2Riches 2 (feat. Lil Baby),11,26,84
Roddy Ricch,High Fashion (feat. Mustard),43,5,157
Roddy Ricch,Peta (feat. Meek Mill),10,60,129
Roddy Ricch,Start Wit Me (feat. Gunna),22,48,198
Roddy Ricch,The Box,46,1,61
Roddy Ricch,Tip Toe (feat. A Boogie Wit da Hoodie),13,49,182
Run The Jewels,JUST (feat. Pharrell Williams & Zack de la Rocha),1,122,122
Russ,BEST ON EARTH (feat. BIA) - Bonus,15,81,179
Russ,GUESS WHAT (feat. Rick Ross),1,136,136
SAINt JHN,Roses - Imanbek Remix,35,5,185
SHAED,Trampoline,1,115,115
SHAED,Trampoline (with ZAYN),12,33,187
SZA,Hit Different,7,18,190
SZA,The Other Side (from Trolls World Tour),2,66,156
Sada Baby,Whole Lotta Choppas,2,163,168
Sada Baby,Whole Lotta Choppas (Remix) [feat. Nicki Minaj],1,87,87
Sam Fischer,This City,11,144,182
Sam Hunt,2016,1,137,137
Sam Hunt,Body Like A Back Road,11,117,200
Sam Hunt,Hard To Forget,1,162,162
Sam Hunt,Kinfolks,1,110,110
Sam Smith,Dancing With A Stranger (with Normani),6,172,197
Sam Smith,Diamonds,5,32,196
Sam Smith,Have Yourself A Merry Little Christmas,4,62,137
Sam Smith,How Do You Sleep?,12,44,173
Sam Smith,I’m Ready (with Demi Lovato),4,21,108
Sam Smith,My Oasis (feat. Burna Boy),3,119,178
Sam Smith,To Die For,7,24,157
Saweetie,My Type,9,120,200
Saweetie,Tap In,15,26,158
Saweetie,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",3,64,145
Sech,Relación - Remix,5,166,200
Selena Gomez,A Sweeter Place (feat. Kid Cudi),1,134,134
Selena Gomez,Boyfriend,4,38,189
Selena Gomez,Crowded Room (feat. 6LACK),1,79,79
Selena Gomez,Cut You Off,1,167,167
Selena Gomez,Dance Again,1,94,94
Selena Gomez,Feel Me,3,43,164
Selena Gomez,Kinda Crazy,1,181,181
Selena Gomez,Let Me Get Me,1,174,174
Selena Gomez,Look At Her Now,9,15,166
Selena Gomez,Lose You To Love Me,27,2,194
Selena Gomez,People You Know,1,128,128
Selena Gomez,Rare,7,12,138
Selena Gomez,Ring,1,106,106
Selena Gomez,Vulnerable,1,73,73
Shakira,Hips Don't Lie (feat. Wyclef Jean),1,146,146
Shawn Mendes,If I Can't Have You,4,152,161
Shawn Mendes,Señorita,39,35,182
Shawn Mendes,Wonder,3,9,23
Sia,Santa's Coming for Us,1,146,146
Ski Mask The Slump God,Burn The Hoods,1,84,84
Ski Mask The Slump God,Carbonated Water,1,102,102
Ski Mask The Slump God,Faucet Failure,13,158,193
Sleepy Hallow,Deep End Freestyle,12,22,182
Smokepurpp,What I Please (feat. Denzel Curry),1,187,187
Social House,Magic In The Hamptons (feat. Lil Yachty),22,86,197
StaySolidRocky,Party Girl,24,2,94
StaySolidRocky,Party Girl (Remix),5,12,176
Stevie Wonder,What Christmas Means To Me,1,107,107
Stormzy,Own It (feat. Ed Sheeran & Burna Boy),1,117,117
Stunna 4 Vegas,UP THE SMOKE (with Offset),8,138,192
SuicideBoyS,"...And To Those I Love, Thanks For Sticking Around",19,82,192
Summer Walker,Come Thru (with Usher),5,137,195
Summer Walker,Girls Need Love (with Drake) - Remix,2,173,181
Summer Walker,My Affection (with PARTYNEXTDOOR),1,176,176
Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,4,92,168
Summer Walker,Something Real (with London On Da Track & Chris Brown),1,165,165
Surf Mesa,ily (i love you baby) (feat. Emilee),27,49,196
Surfaces,Sunday Best,40,14,133
Swae Lee,Reality Check,1,135,135
Swae Lee,Someone Said,2,95,118
THE SCOTTS,THE SCOTTS,26,1,116
TOKYO’S REVENGE,GOODMORNINGTOKYO!,20,44,192
Tame Impala,Borderline,1,75,75
Tame Impala,Breathe Deeper,1,44,44
Tame Impala,Instant Destiny,1,109,109
Tame Impala,Is It True,1,138,138
Tame Impala,It Might Be Time,1,168,168
Tame Impala,Lost In Yesterday,2,112,135
Tame Impala,On Track,1,161,161
Tame Impala,One More Year,1,86,86
Tame Impala,Posthumous Forgiveness,1,119,119
Tame Impala,The Less I Know The Better,50,119,195
Tame Impala,Tomorrow's Dust,1,149,149
Tate McRae,you broke me first,14,16,178
Taylor Swift,Christmas Tree Farm,3,96,136
Taylor Swift,Lover,7,84,190
Taylor Swift,Lover (Remix) [feat. Shawn Mendes],3,28,107
Taylor Swift,Only The Young - Featured in Miss Americana,2,50,80
Taylor Swift,You Need To Calm Down,16,117,195
Taylor Swift,august,8,6,173
Taylor Swift,betty,8,14,196
Taylor Swift,cardigan,13,1,154
Taylor Swift,epiphany,4,18,200
Taylor Swift,exile (feat. Bon Iver),13,3,184
Taylor Swift,hoax,3,20,154
Taylor Swift,illicit affairs,5,11,167
Taylor Swift,invisible string,6,9,170
Taylor Swift,mad woman,4,15,161
Taylor Swift,mirrorball,5,7,147
Taylor Swift,my tears ricochet,6,5,152
Taylor Swift,peace,4,19,180
Taylor Swift,seven,5,8,140
Taylor Swift,the 1,13,2,185
Taylor Swift,the last great american dynasty,8,4,195
Taylor Swift,this is me trying,5,10,166
The 1975,If You’re Too Shy (Let Me Know) - Edit,1,158,158
The 1975,Tonight (I Wish I Was Your Boy),1,151,151
The 7 Dimensions,Faygo,1,150,150
The Beach Boys,Little Saint Nick - 1991 Remix,1,95,95
The Chainsmokers,Family,1,149,149
The Chainsmokers,Push My Luck,1,127,127
The Chainsmokers,Takeaway (feat. Lennon Stella),4,104,177
The Jackson 5,I Saw Mommy Kissing Santa Claus,2,57,123
The Jackson 5,Santa Claus Is Coming To Town,3,42,191
The Kid LAROI,Addison Rae,1,194,194
The Kid LAROI,Diva (feat. Lil Tecca),2,114,163
The Kid LAROI,Fade Away,1,164,164
The Kid LAROI,GO (feat. Juice WRLD),19,15,98
The Kid LAROI,MAYBE,1,141,141
The Kid LAROI,NOT FAIR (feat. Corbin),1,199,199
The Kid LAROI,TELL ME WHY,5,88,192
The Kid LAROI,WRONG (feat. Lil Mosey),1,101,101
The Killers,Mr. Brightside,13,168,198
The Lumineers,Ophelia,2,197,200
The Neighbourhood,Daddy Issues,6,109,182
The Neighbourhood,Sweater Weather,9,61,188
