,,Position,Position,Position
,,count,min,max
Bad Bunny,Puesto Pa' Guerrial,1,108,108
Bad Bunny,Que Malo,2,61,129
Bad Bunny,SI ELLA SALE,1,158,158
Bad Bunny,Safaera,21,41,166
Bad Bunny,Si Veo a Tu Mamá,12,16,182
Bad Bunny,Soliá,2,52,94
Bad Bunny,Una Vez,2,73,144
Bad Bunny,Vete,23,8,193
Bad Bunny,Yo Perreo Sola,21,39,198
Band Aid,Do They Know It's Christmas? - 1984 Version,5,34,179
Banda MS de Sergio Lizárraga,Qué Maldición,1,123,123
Bankrol Hayden,Costa Rica,4,118,200
Bankrol Hayden,Costa Rica (feat. The Kid LAROI) - Remix,1,192,192
Bazzi,I.F.L.Y.,14,80,195
Bazzi,Paradise,5,163,191
Bazzi,Young & Alive,3,116,187
Bea Miller,feel something,6,104,187
Bebe Rexha,"Baby, I'm Jealous (feat. Doja Cat)",1,99,99
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),5,188,199
Beyoncé,BLACK PARADE,2,65,102
Big Sean,"Body Language (feat. Ty Dolla Sign, and Jhené Aiko)",1,172,172
Big Sean,Deep Reverence (feat. Nipsey Hussle),2,96,112
Big Sean,Harder Than My Demons,1,124,124
Big Sean,Lithuania (feat. Travis Scott),1,31,31
Big Sean,Lucky Me,1,158,158
Big Sean,Why Would I Stop?,1,109,109
Big Sean,Wolves (feat. Post Malone),7,19,43
Big Sean,ZTFO,1,81,81
Billie Eilish,No Time To Die,7,4,179
Billie Eilish,all the good girls go to hell,3,134,188
Billie Eilish,bad guy,52,18,196
Billie Eilish,bury a friend,13,108,194
Billie Eilish,everything i wanted,50,1,184
Billie Eilish,i love you,19,117,195
Billie Eilish,idontwannabeyouanymore,1,196,196
Billie Eilish,lovely (with Khalid),52,56,165
Billie Eilish,my future,11,2,151
Billie Eilish,ocean eyes,23,105,191
Billie Eilish,when the party's over,50,38,193
Billie Eilish,wish you were gay,8,136,192
Billie Eilish,xanny,1,199,199
Billie Eilish,you should see me in a crown,3,153,197
Bing Crosby,Do You Hear What I Hear?,4,75,184
Bing Crosby,It's Beginning To Look Like Christmas,1,113,113
Bing Crosby,Mele Kalikimaka (Merry Christmas),2,87,193
Bing Crosby,White Christmas,5,23,175
Bing Crosby,Winter Wonderland,4,66,192
Black Eyed Peas,MAMACITA,10,117,198
Black Eyed Peas,RITMO (Bad Boys For Life),18,87,190
Blake Shelton,Nobody But You (Duet with Gwen Stefani),1,185,185
"Bobby ""Boris"" Pickett",Monster Mash,1,175,175
Bobby Helms,Jingle Bell Rock,7,5,198
Brenda Lee,Rockin' Around The Christmas Tree,7,4,167
Brent Faiyaz,Dead Man Walking,1,181,181
Brent Faiyaz,Trust,8,89,189
Brett Eldredge,"Baby, It's Cold Outside (feat. Meghan Trainor)",2,108,190
Britney Spears,My Only Wish (This Year),1,150,150
Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",2,91,179
Bryson Tiller,Always Forever,1,112,112
Bryson Tiller,I'm Ready For You,1,170,170
Bryson Tiller,Inhale,1,138,138
Bryson Tiller,Outta Time (feat. Drake),2,30,181
Bryson Tiller,Sorrows,1,167,167
Bryson Tiller,Things Change,1,163,163
Bryson Tiller,Years Go By,1,101,101
Burl Ives,A Holly Jolly Christmas - Single Version,5,15,144
Burl Ives,Rudolph The Red-Nosed Reindeer,1,122,122
BØRNS,Electric Love,18,44,197
CORPSE,E-GIRLS ARE RUINING MY LIFE!,2,85,94
Calboy,Envy Me,21,114,200
Calvin Harris,Over Now (with The Weeknd),4,17,183
Camila Cabello,Easy,3,85,139
Camila Cabello,Liar,8,60,156
Camila Cabello,Living Proof,2,104,197
Camila Cabello,My Oh My (feat. DaBaby),23,15,102
Cardi B,I Like It,1,185,185
Cardi B,WAP (feat. Megan Thee Stallion),11,1,3
Carly Pearce,I Hope You’re Happy Now,4,163,171
Carpenters,Sleigh Ride,1,138,138
Chance the Rapper,Hot Shower,14,39,189
Chase Rice,Lonely If You Are,1,190,190
Childish Gambino,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",1,158,158
Childish Gambino,Algorhythm,1,181,181
Childish Gambino,Redbone,5,170,200
Childish Gambino,This Is America,2,40,117
Chloe x Halle,Do It,5,96,188
Chris Brown,Go Crazy,22,20,188
Chris Brown,No Guidance (feat. Drake),52,21,164
Chris Rea,Driving Home for Christmas - 2019 Remaster,1,186,186
Chris Stapleton,Starting Over,1,100,100
Chris Stapleton,Tennessee Whiskey,8,178,199
Chuck Berry,Run Rudolph Run - Single Version,4,41,105
City Girls,Pussy Talk,10,134,195
Claire Rosinkranz,Backyard Boy,3,175,191
Clairo,Sofia,5,28,126
Cochise,Hatchback,1,200,200
Coldplay,Orphans,2,93,196
Conan Gray,Heather,16,9,194
Conan Gray,Maniac,45,73,200
Cordae,Gifted (feat. Roddy Ricch),2,58,130
Curtis Waters,Stunnin' (feat. Harm Franklin),18,66,170
DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,2,74,158
DJ Khaled,GREECE (feat. Drake),14,12,99
DJ Khaled,POPSTAR (feat. Drake),14,4,32
DaBaby,AMAZING GRACE,1,138,138
DaBaby,BLAME IT ON BABY,1,42,42
DaBaby,BLIND (feat. Young Thug),10,78,180
DaBaby,BOP,52,4,158
DaBaby,Baby Sitter (feat. Offset),2,182,190
DaBaby,CAN'T STOP,1,54,54
DaBaby,CHAMPION,1,79,79
DaBaby,DROP (feat. A Boogie wit da Hoodie & London On Da Track),1,63,63
DaBaby,FIND MY WAY,12,5,191
DaBaby,Goin Baby,3,171,188
DaBaby,INTRO,4,119,167
DaBaby,JUMP (feat. YoungBoy Never Broke Again),9,24,194
DaBaby,LIGHTSKIN SH*T (feat. Future & jetsonmade),1,49,49
DaBaby,NASTY (feat. Ashanti & Megan Thee Stallion),1,84,84
DaBaby,NO DRIBBLE (feat. Stunna 4 Vegas),1,154,154
DaBaby,PICK UP (feat. Quavo),6,19,165
DaBaby,PRACTICE,1,103,103
DaBaby,RAW SHIT (feat. Migos),2,159,165
DaBaby,ROCKSTAR (feat. Roddy Ricch),27,1,14
DaBaby,ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,2,27,181
DaBaby,SAD SH*T,1,62,62
DaBaby,Suge,44,31,190
DaBaby,TALK ABOUT IT,1,68,68
DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),30,18,198
DaBaby,VIBEZ,36,19,169
Dan + Shay,"10,000 Hours (with Justin Bieber)",52,15,186
Dan + Shay,I Should Probably Go To Bed,7,81,195
Dan + Shay,Speechless,34,92,198
