Unnamed: 0,Unnamed: 1,Unnamed: 2,,,,
Position,Track Name,Artist,Streams,URL,Date,Unique ID
044,Señorita,Shawn Mendes,3346681,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,01.02.20,01.02.20_044
045,"10,000 Hours (with Justin Bieber)",Dan + Shay,3298212,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,01.02.20,01.02.20_045
046,Stuck In A Dream (feat. Gunna),Lil Mosey,3291047,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,01.02.20,01.02.20_046
047,No Guidance (feat. Drake),Chris Brown,3280835,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,01.02.20,01.02.20_047
048,Goodbyes (Feat. Young Thug),Post Malone,3228563,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,01.02.20,01.02.20_048
049,Death,Trippie Redd,3140564,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,01.02.20,01.02.20_049
050,MIDDLE CHILD,J. Cole,3021715,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,01.02.20,01.02.20_050
051,Wow.,Post Malone,3019364,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,01.02.20,01.02.20_051
052,Yellow Hearts,Ant Saunders,2927837,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,01.02.20,01.02.20_052
053,All Girls Are The Same,Juice WRLD,2922951,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,01.02.20,01.02.20_053
054,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,2922466,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,01.02.20,01.02.20_054
055,Camelot,NLE Choppa,2876047,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF,01.02.20,01.02.20_055
056,Let Me Know (I Wonder Why Freestyle),Juice WRLD,2851530,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx,01.02.20,01.02.20_056
057,Legends,Juice WRLD,2836434,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,01.02.20,01.02.20_057
058,Start Wit Me (feat. Gunna),Roddy Ricch,2767556,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu,01.02.20,01.02.20_058
059,Lights Up,Harry Styles,2759202,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,01.02.20,01.02.20_059
060,when the party's over,Billie Eilish,2745034,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,01.02.20,01.02.20_060
061,Make No Sense,YoungBoy Never Broke Again,2736384,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I,01.02.20,01.02.20_061
062,Say So,Doja Cat,2732656,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,01.02.20,01.02.20_062
063,Vete,Bad Bunny,2664877,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,01.02.20,01.02.20_063
064,Beautiful People (feat. Khalid),Ed Sheeran,2647825,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,01.02.20,01.02.20_064
065,7 rings,Ariana Grande,2604475,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,01.02.20,01.02.20_065
066,Hate Me (with Juice WRLD),Ellie Goulding,2602704,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,01.02.20,01.02.20_066
067,Baby (Lil Baby feat. DaBaby),Quality Control,2591914,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J,01.02.20,01.02.20_067
068,SUGAR,BROCKHAMPTON,2584458,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,01.02.20,01.02.20_068
069,SICKO MODE,Travis Scott,2570543,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,01.02.20,01.02.20_069
070,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,2554371,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,01.02.20,01.02.20_070
071,Into the Unknown,Idina Menzel,2529129,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,01.02.20,01.02.20_071
072,VALENTINO,24kGoldn,2517294,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q,01.02.20,01.02.20_072
073,Pop Out (feat. Lil Tjay),Polo G,2517207,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,01.02.20,01.02.20_073
074,Murder On My Mind,YNW Melly,2511255,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,01.02.20,01.02.20_074
075,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2505716,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,01.02.20,01.02.20_075
076,The London (feat. J. Cole & Travis Scott),Young Thug,2472331,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,01.02.20,01.02.20_076
077,July,Noah Cyrus,2471620,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,01.02.20,01.02.20_077
078,ORANGE SODA,Baby Keem,2428697,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,01.02.20,01.02.20_078
079,Peta (feat. Meek Mill),Roddy Ricch,2424064,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,01.02.20,01.02.20_079
080,SLOW DANCING IN THE DARK,Joji,2418211,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,01.02.20,01.02.20_080
081,lovely (with Khalid),Billie Eilish,2410503,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,01.02.20,01.02.20_081
082,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2396135,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,01.02.20,01.02.20_082
083,Tusa,KAROL G,2380465,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,01.02.20,01.02.20_083
084,Going Bad (feat. Drake),Meek Mill,2364631,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,01.02.20,01.02.20_084
085,Panini,Lil Nas X,2341902,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,01.02.20,01.02.20_085
086,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,2339104,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ,01.02.20,01.02.20_086
087,Old Town Road - Remix,Lil Nas X,2330214,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,01.02.20,01.02.20_087
088,JACKBOYS,JACKBOYS,2322556,https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o,01.02.20,01.02.20_088
089,rockstar (feat. 21 Savage),Post Malone,2319039,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,01.02.20,01.02.20_089
090,6 Kiss,Trippie Redd,2312011,https://open.spotify.com/track/7tgjDlQsMR8RvkdlNCJA58,01.02.20,01.02.20_090
091,Lalala,Y2K,2310821,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,01.02.20,01.02.20_091
092,SAD!,XXXTENTACION,2307772,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,01.02.20,01.02.20_092
093,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2286767,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,01.02.20,01.02.20_093
094,Talk (feat. Disclosure),Khalid,2284214,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,01.02.20,01.02.20_094
095,Hot (feat. Gunna),Young Thug,2272554,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9,01.02.20,01.02.20_095
096,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2270712,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,01.02.20,01.02.20_096
097,EARFQUAKE,"Tyler, The Creator",2266323,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,01.02.20,01.02.20_097
098,Graveyard,Halsey,2257139,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,01.02.20,01.02.20_098
099,How Do You Sleep?,Sam Smith,2226013,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,01.02.20,01.02.20_099
100,Enemies (feat. DaBaby),Post Malone,2211466,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF,01.02.20,01.02.20_100
101,If the World Was Ending - feat. Julia Michaels,JP Saxe,2208719,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,01.02.20,01.02.20_101
102,Armed And Dangerous,Juice WRLD,2197117,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,01.02.20,01.02.20_102
103,Happier,Marshmello,2180266,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,01.02.20,01.02.20_103
