Unnamed: 0,Unnamed: 1,Unnamed: 2,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,Unnamed: 4
Position,Track Name,Artist,Streams,URL
95,Hot (feat. Gunna),Young Thug,2272554,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
96,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2270712,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
97,EARFQUAKE,"Tyler, The Creator",2266323,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
98,Graveyard,Halsey,2257139,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
99,How Do You Sleep?,Sam Smith,2226013,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
100,Enemies (feat. DaBaby),Post Malone,2211466,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
101,If the World Was Ending - feat. Julia Michaels,JP Saxe,2208719,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
102,Armed And Dangerous,Juice WRLD,2197117,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
103,Happier,Marshmello,2180266,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
104,Before You Go,Lewis Capaldi,2173043,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
105,RITMO (Bad Boys For Life),Black Eyed Peas,2157137,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
106,"thank u, next",Ariana Grande,2126623,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
107,F.N,Lil Tjay,2118567,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
108,Cash Shit (feat. DaBaby),Megan Thee Stallion,2107416,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
109,Better Now,Post Malone,2102761,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
110,Ransom (with Juice WRLD) - Remix,Lil Tecca,2080822,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
111,Jocelyn Flores,XXXTENTACION,2075027,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
112,I Fall Apart,Post Malone,2071892,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
113,I Don't Care (with Justin Bieber),Ed Sheeran,2071194,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
114,Lean Wit Me,Juice WRLD,2070879,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
115,Trampoline,SHAED,2067884,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS
116,Sucker,Jonas Brothers,2063509,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
117,Maniac,Conan Gray,2060096,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
118,Juicy,Doja Cat,2056983,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
119,Hop Off A Jet (feat. Travis Scott),Young Thug,2056332,https://open.spotify.com/track/3RZftiuTcLOqpsd8ZlwNhr
120,All Me (feat. Keyshia Cole),Kehlani,2036298,https://open.spotify.com/track/3ucRKbRlikYHyoI17gfR0c
121,Heartless (feat. Morgan Wallen),Diplo,2024415,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
122,Famous Hoes,NLE Choppa,1992735,https://open.spotify.com/track/35Xf2ABjPzUXKz19akd7Jj
123,Sanguine Paradise,Lil Uzi Vert,1961298,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
124,Heart On Ice,Rod Wave,1959188,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
125,Up All Night,Khalid,1953411,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
126,Somebody,Internet Money,1952035,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
127,One Thing Right,Marshmello,1941929,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
128,Without Me,Halsey,1941747,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
129,Hot Shower,Chance the Rapper,1920711,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
130,ocean eyes,Billie Eilish,1916927,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
131,It's You,Ali Gatie,1907782,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
132,Immortal,21 Savage,1889669,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq
133,XO Tour Llif3,Lil Uzi Vert,1887498,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
134,One Man Band,Old Dominion,1886449,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
135,Moonlight,XXXTENTACION,1881690,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
136,Panini - DaBaby Remix,Lil Nas X,1881560,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
137,God's Plan,Drake,1864224,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
138,Millions,Young Thug,1861913,https://open.spotify.com/track/43YQDj1KOPMFAUcTEPKy4p
139,Candy,Doja Cat,1857037,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
140,goosebumps,Travis Scott,1855025,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
141,Did It Again,Lil Tecca,1850844,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
142,bury a friend,Billie Eilish,1849769,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
143,Shotta Flow (feat. Blueface) [Remix],NLE Choppa,1841920,https://open.spotify.com/track/5BJMeoCXXgbRAWfp6fTulr
144,High Fashion (feat. Mustard),Roddy Ricch,1820280,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
145,Eastside (with Halsey & Khalid),benny blanco,1816647,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
146,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1813304,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
147,Good as Hell,Lizzo,1812455,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
148,Pure Water (with Migos),Mustard,1798579,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
149,Cherry,Harry Styles,1795058,https://open.spotify.com/track/2IOFZdYYkFxEHVz1w34PoL
150,Golden,Harry Styles,1791410,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
151,Fuck Love (feat. Trippie Redd),XXXTENTACION,1774438,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
152,Bad Bad Bad (feat. Lil Baby),Young Thug,1768678,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
153,Better,Khalid,1759779,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
154,Graduation (with Juice WRLD),benny blanco,1757969,https://open.spotify.com/track/6cjSh516BbrNUs213jDAGm
155,Envy Me,Calboy,1753086,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
156,Mean It,Lauv,1745932,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
157,Speechless,Dan + Shay,1735877,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
158,You Need To Calm Down,Taylor Swift,1730034,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
159,Beautiful Crazy,Luke Combs,1722666,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
160,LA CANCIÓN,J Balvin,1721121,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
161,Faucet Failure,Ski Mask The Slump God,1716148,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
162,High Hopes,Panic! At The Disco,1708998,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
163,Callaita,Bad Bunny,1708689,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
164,Love Me More,Trippie Redd,1704831,https://open.spotify.com/track/6uYgCE2OEulOw5zhHvZsHf
165,BEST ON EARTH (feat. BIA) - Bonus,Russ,1704346,https://open.spotify.com/track/2Xo3rLHjXfdb4avN68aQyi
166,Look At Her Now,Selena Gomez,1688052,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
167,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,1687574,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
168,HUMBLE.,Kendrick Lamar,1654353,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
169,Noticed,Lil Mosey,1653897,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
170,Young Dumb & Broke,Khalid,1645893,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
171,i love you,Billie Eilish,1634553,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
172,Dancing With A Stranger (with Normani),Sam Smith,1631107,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
173,The Less I Know The Better,Tame Impala,1624797,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
174,My Type,Saweetie,1623073,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9
175,Yes Indeed,Lil Baby,1614322,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
176,Congratulations,Post Malone,1613487,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
177,a lot,21 Savage,1604751,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
178,Whiskey Glasses,Morgan Wallen,1601129,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
179,wish you were gay,Billie Eilish,1598644,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
180,Love Me,Lil Tecca,1591074,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI
181,UP THE SMOKE (with Offset),Stunna 4 Vegas,1590234,https://open.spotify.com/track/09TZsMHXEtQkdmMJZPLKup
182,The Bones,Maren Morris,1584999,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
183,Best Part (feat. Daniel Caesar),H.E.R.,1584440,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
184,I Like Me Better,Lauv,1582748,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
185,I Like It,Cardi B,1573241,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
186,Saint-Tropez,Post Malone,1557642,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
187,Tequila,Dan + Shay,1541403,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
188,all the good girls go to hell,Billie Eilish,1538846,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
189,How I Move (feat. Lil Baby),Flipp Dinero,1538764,https://open.spotify.com/track/14X1WxiHXdVRJ99cMCBzOE
190,Nice To Meet Ya,Niall Horan,1537875,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
191,1400 / 999 Freestyle,Trippie Redd,1537224,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
192,Self Control,YoungBoy Never Broke Again,1534548,https://open.spotify.com/track/4vSoyDfL0uZyUoWu5NNNsQ
193,Follow God,Kanye West,1534516,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
194,No Role Modelz,J. Cole,1534434,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
195,Look Back at It,A Boogie Wit da Hoodie,1534344,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
196,I,Lil Skies,1529025,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
197,LOYAL (feat. Drake),PARTYNEXTDOOR,1518102,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
198,Hollywood's Bleeding,Post Malone,1517632,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
199,Juice,Lizzo,1515791,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
200,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,1513810,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,18952305,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,ROXANNE,Arizona Zervas,9671478,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Yummy,Justin Bieber,9648561,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
4,Circles,Post Malone,8244725,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,BOP,DaBaby,7985170,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
6,Falling,Trevor Daniel,7503297,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,Dance Monkey,Tones And I,6986158,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6938158,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
9,Futsal Shuffle 2020,Lil Uzi Vert,6802710,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
10,everything i wanted,Billie Eilish,6181388,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,Ballin' (with Roddy Ricch),Mustard,6166618,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
12,Blinding Lights,The Weeknd,6093807,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
13,Adore You,Harry Styles,5918797,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
14,Suicidal,YNW Melly,5880355,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
15,My Oh My (feat. DaBaby),Camila Cabello,5680153,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
16,Don't Start Now,Dua Lipa,5216621,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
17,No Idea,Don Toliver,4922350,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
18,hot girl bummer,blackbear,4897726,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
19,VIBEZ,DaBaby,4809631,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
20,Watermelon Sugar,Harry Styles,4793358,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
21,Heartless,The Weeknd,4784585,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
22,OUT WEST (feat. Young Thug),JACKBOYS,4750318,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
23,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4700611,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
24,HIGHEST IN THE ROOM,Travis Scott,4640947,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
25,Someone You Loved,Lewis Capaldi,4604720,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,Woah,Lil Baby,4528520,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
27,Memories,Maroon 5,4510361,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,Lose You To Love Me,Selena Gomez,4291918,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
29,SUGAR,BROCKHAMPTON,4290774,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
30,Lucid Dreams,Juice WRLD,4068069,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
31,Suge,DaBaby,4012729,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
32,Say So,Doja Cat,3895584,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
33,Robbery,Juice WRLD,3857669,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
34,bad guy,Billie Eilish,3830917,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
35,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,3735347,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
