Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
38,Truth Hurts,Lizzo,3716353,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,01.02.20,01.02.20_038,20,01,02,2020,20200102
39,223's (feat. 9lokknine),YNW Melly,3640307,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,01.02.20,01.02.20_039,20,01,02,2020,20200102
40,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,3516323,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,01.02.20,01.02.20_040,20,01,02,2020,20200102
41,GATTI,JACKBOYS,3379341,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,01.02.20,01.02.20_041,20,01,02,2020,20200102
42,Falling,Harry Styles,3373159,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,01.02.20,01.02.20_042,20,01,02,2020,20200102
43,Money In The Grave (Drake ft. Rick Ross),Drake,3367045,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,01.02.20,01.02.20_043,20,01,02,2020,20200102
44,Señorita,Shawn Mendes,3346681,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,01.02.20,01.02.20_044,20,01,02,2020,20200102
45,"10,000 Hours (with Justin Bieber)",Dan + Shay,3298212,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,01.02.20,01.02.20_045,20,01,02,2020,20200102
46,Stuck In A Dream (feat. Gunna),Lil Mosey,3291047,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,01.02.20,01.02.20_046,20,01,02,2020,20200102
47,No Guidance (feat. Drake),Chris Brown,3280835,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,01.02.20,01.02.20_047,20,01,02,2020,20200102
48,Goodbyes (Feat. Young Thug),Post Malone,3228563,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,01.02.20,01.02.20_048,20,01,02,2020,20200102
49,Death,Trippie Redd,3140564,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,01.02.20,01.02.20_049,20,01,02,2020,20200102
50,MIDDLE CHILD,J. Cole,3021715,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,01.02.20,01.02.20_050,20,01,02,2020,20200102
51,Wow.,Post Malone,3019364,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,01.02.20,01.02.20_051,20,01,02,2020,20200102
52,Yellow Hearts,Ant Saunders,2927837,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,01.02.20,01.02.20_052,20,01,02,2020,20200102
53,All Girls Are The Same,Juice WRLD,2922951,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,01.02.20,01.02.20_053,20,01,02,2020,20200102
54,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,2922466,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,01.02.20,01.02.20_054,20,01,02,2020,20200102
55,Camelot,NLE Choppa,2876047,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF,01.02.20,01.02.20_055,20,01,02,2020,20200102
56,Let Me Know (I Wonder Why Freestyle),Juice WRLD,2851530,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx,01.02.20,01.02.20_056,20,01,02,2020,20200102
57,Legends,Juice WRLD,2836434,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,01.02.20,01.02.20_057,20,01,02,2020,20200102
58,Start Wit Me (feat. Gunna),Roddy Ricch,2767556,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu,01.02.20,01.02.20_058,20,01,02,2020,20200102
59,Lights Up,Harry Styles,2759202,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,01.02.20,01.02.20_059,20,01,02,2020,20200102
60,when the party's over,Billie Eilish,2745034,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,01.02.20,01.02.20_060,20,01,02,2020,20200102
61,Make No Sense,YoungBoy Never Broke Again,2736384,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I,01.02.20,01.02.20_061,20,01,02,2020,20200102
62,Say So,Doja Cat,2732656,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,01.02.20,01.02.20_062,20,01,02,2020,20200102
